name,winner_name,yr
Albert Park Grand Prix Circuit,Nico Rosberg,2016
Bahrain International Circuit,Nico Rosberg,2016
Shanghai International Circuit,Nico Rosberg,2016
Sochi Autodrom,Nico Rosberg,2016
Circuit de Barcelona-Catalunya,Max Verstappen,2016
Circuit de Monaco,Lewis Hamilton,2016
Circuit Gilles Villeneuve,Lewis Hamilton,2016
Baku City Circuit,Nico Rosberg,2016
Red Bull Ring,Lewis Hamilton,2016
Silverstone Circuit,Lewis Hamilton,2016
Hungaroring,Lewis Hamilton,2016
Hockenheimring,Lewis Hamilton,2016
Circuit de Spa-Francorchamps,Nico Rosberg,2016
Autodromo Nazionale di Monza,Nico Rosberg,2016
Marina Bay Street Circuit,Nico Rosberg,2016
Sepang International Circuit,Daniel Ricciardo,2016
Suzuka Circuit,Nico Rosberg,2016
Circuit of the Americas,Lewis Hamilton,2016
Autódromo Hermanos Rodríguez,Lewis Hamilton,2016
Autódromo José Carlos Pace,Lewis Hamilton,2016
Yas Marina Circuit,Lewis Hamilton,2016
Albert Park Grand Prix Circuit,Sebastian Vettel,2017
Shanghai International Circuit,Lewis Hamilton,2017
Bahrain International Circuit,Sebastian Vettel,2017
Sochi Autodrom,Valtteri Bottas,2017
Circuit de Barcelona-Catalunya,Lewis Hamilton,2017
Circuit de Monaco,Sebastian Vettel,2017
Circuit Gilles Villeneuve,Lewis Hamilton,2017
Baku City Circuit,Daniel Ricciardo,2017
Red Bull Ring,Valtteri Bottas,2017
Silverstone Circuit,Lewis Hamilton,2017
Hungaroring,Sebastian Vettel,2017
Circuit de Spa-Francorchamps,Lewis Hamilton,2017
Autodromo Nazionale di Monza,Lewis Hamilton,2017
Marina Bay Street Circuit,Lewis Hamilton,2017
Sepang International Circuit,Max Verstappen,2017
Suzuka Circuit,Lewis Hamilton,2017
Circuit of the Americas,Lewis Hamilton,2017
Autódromo Hermanos Rodríguez,Max Verstappen,2017
Autódromo José Carlos Pace,Sebastian Vettel,2017
Yas Marina Circuit,Valtteri Bottas,2017
Albert Park Grand Prix Circuit,Sebastian Vettel,2018
Bahrain International Circuit,Sebastian Vettel,2018
Shanghai International Circuit,Daniel Ricciardo,2018
Baku City Circuit,Lewis Hamilton,2018
Circuit de Barcelona-Catalunya,Lewis Hamilton,2018
